"ID","t","Age"
"Sim-Animal-Ind-61",70,"!"
"Sim-Animal-Ind-61",80,"!"
"Sim-Animal-Ind-61",90,"!"
"Sim-Animal-Ind-61",100,"!"
"Sim-Animal-Ind-62",10,"!"
"Sim-Animal-Ind-62",20,"!"
"Sim-Animal-Ind-62",30,"A1"
"Sim-Animal-Ind-62",40,"!"
"Sim-Animal-Ind-62",50,"!"
"Sim-Animal-Ind-62",60,"!"
"Sim-Animal-Ind-62",70,"!"
"Sim-Animal-Ind-62",80,"!"
"Sim-Animal-Ind-62",90,"!"
"Sim-Animal-Ind-62",100,"!"
"Sim-Animal-Ind-63",10,"!"
"Sim-Animal-Ind-63",20,"!"
"Sim-Animal-Ind-63",30,"A1"
"Sim-Animal-Ind-63",40,"A10+"
"Sim-Animal-Ind-63",50,"!"
"Sim-Animal-Ind-63",60,"!"
"Sim-Animal-Ind-63",70,"!"
"Sim-Animal-Ind-63",80,"!"
"Sim-Animal-Ind-63",90,"!"
"Sim-Animal-Ind-63",100,"!"
"Sim-Animal-Ind-64",10,"!"
"Sim-Animal-Ind-64",20,"!"
"Sim-Animal-Ind-64",30,"A1"
"Sim-Animal-Ind-64",40,"A10+"
"Sim-Animal-Ind-64",50,"!"
"Sim-Animal-Ind-64",60,"!"
"Sim-Animal-Ind-64",70,"!"
"Sim-Animal-Ind-64",80,"!"
"Sim-Animal-Ind-64",90,"!"
"Sim-Animal-Ind-64",100,"!"
"Sim-Animal-Ind-65",10,"!"
"Sim-Animal-Ind-65",20,"!"
"Sim-Animal-Ind-65",30,"!"
"Sim-Animal-Ind-65",40,"!"
"Sim-Animal-Ind-65",50,"!"
"Sim-Animal-Ind-65",60,"!"
"Sim-Animal-Ind-65",70,"!"
"Sim-Animal-Ind-65",80,"!"
"Sim-Animal-Ind-65",90,"!"
"Sim-Animal-Ind-65",100,"!"
"Sim-Animal-Ind-66",10,"!"
"Sim-Animal-Ind-66",20,"!"
